concurso,dada_sorteio,bola1,bola2,bola3,bola4,bola5,ganhadores_5_acertos,cidade_uf,rateio_5_acertos,ganhadores_4_acertos,rateio_4_acertos,ganhadores_3_acertos,rateio_3_acertos,ganhadores_2_acertos,rateio_2_acertos,acumulado_5_acertos,arrecadacao_total,estimativa_premio,acumulado_sorteio_especial_quina_de_sao_joao,observacao
1,1994-03-13,25,45,60,76,79,3,,75731225.0,127,1788927.0,7030,42982.0,0,0.0,0.0,0.0,0.0,0.0,
2,1994-03-17,13,30,58,63,64,1,,118499397.0,105,1128565.0,4861,32422.0,0,0.0,0.0,0.0,0.0,0.0,
3,1994-03-20,5,15,32,33,48,1,,154244270.0,232,664846.0,10196,20120.0,0,0.0,0.0,0.0,0.0,0.0,
4,1994-03-24,27,57,60,61,77,1,,124185246.0,78,1592119.0,4033,40954.0,0,0.0,0.0,0.0,0.0,0.0,
5,1994-03-27,19,44,53,54,71,1,,147595715.0,137,1077341.0,5338,36774.0,0,0.0,0.0,0.0,0.0,0.0,
6,1994-04-03,4,45,54,65,67,1,,165397879.0,157,1053490.0,7286,30192.0,0,0.0,0.0,0.0,0.0,0.0,
7,1994-04-07,9,21,37,42,68,2,,77956048.0,153,1019033.0,5621,36891.0,0,0.0,0.0,0.0,0.0,0.0,
8,1994-04-10,5,16,26,28,62,0,,0.0,178,1208140.0,8290,34501.0,0,0.0,215049006.0,0.0,0.0,0.0,
9,1994-04-14,4,15,44,64,73,0,,0.0,160,1486217.0,7584,41701.0,0,0.0,452843743.0,0.0,0.0,0.0,
10,1994-04-17,20,32,49,54,62,0,,0.0,117,2414361.0,6089,61701.0,0,0.0,735323913.0,0.0,0.0,0.0,
11,1994-04-24,17,33,52,60,76,3,,417312858.0,265,1949489.0,12691,54140.0,0,0.0,0.0,0.0,0.0,0.0,
12,1994-04-28,1,28,56,65,79,1,,184669459.0,139,1328557.0,5837,42078.0,0,0.0,0.0,0.0,0.0,0.0,
13,1994-05-01,13,33,38,39,72,0,,0.0,115,2006018.0,7233,42419.0,0,0.0,230692109.0,0.0,0.0,0.0,
14,1994-05-05,44,52,60,64,68,1,,525124015.0,106,2777659.0,4708,83176.0,0,0.0,0.0,0.0,0.0,0.0,
